Time [sec],Displacement [cm]
0,0
0.01,-0.00001
0.02,-0.00009
0.03,-0.00029
0.04,-0.00062
0.05,-0.00108
0.06,-0.00166
0.07,-0.00235
0.08,-0.00317
0.09,-0.00409
0.1,-0.00513
0.11,-0.00628
0.12,-0.00754
0.13,-0.00891
0.14,-0.01038
0.15,-0.01195
0.16,-0.01362
0.17,-0.01539
0.18,-0.01726
0.19,-0.01923
0.2,-0.02128
0.21,-0.02343
0.22,-0.02567
0.23,-0.028
0.24,-0.03041
0.25,-0.03291
0.26,-0.03549
0.27,-0.03816
0.28,-0.0409
0.29,-0.04372
0.3,-0.04661
0.31,-0.04958
0.32,-0.05262
0.33,-0.05574
0.34,-0.05892
0.35,-0.06217
0.36,-0.06549
0.37,-0.06887
0.38,-0.07231
0.39,-0.07582
0.4,-0.07938
0.41,-0.08301
0.42,-0.08669
0.43,-0.09043
0.44,-0.09422
0.45,-0.09806
0.46,-0.10196
0.47,-0.1059
0.48,-0.1099
0.49,-0.11394
0.5,-0.11803
0.51,-0.12216
0.52,-0.12633
0.53,-0.13054
0.54,-0.1348
0.55,-0.13909
0.56,-0.14342
0.57,-0.14779
0.58,-0.15219
0.59,-0.15663
0.6,-0.1611
0.61,-0.1656
0.62,-0.17013
0.63,-0.17469
0.64,-0.17928
0.65,-0.18389
0.66,-0.18853
0.67,-0.19319
0.68,-0.19788
0.69,-0.20258
0.7,-0.20731
0.71,-0.21206
0.72,-0.21682
0.73,-0.22161
0.74,-0.22641
0.75,-0.23122
0.76,-0.23605
0.77,-0.24089
0.78,-0.24575
0.79,-0.25061
0.8,-0.25549
0.81,-0.26037
0.82,-0.26526
0.83,-0.27016
0.84,-0.27507
0.85,-0.27998
0.86,-0.28489
0.87,-0.28981
0.88,-0.29473
0.89,-0.29966
0.9,-0.30458
0.91,-0.3095
0.92,-0.31442
0.93,-0.31934
0.94,-0.32426
0.95,-0.32917
0.96,-0.33408
0.97,-0.33898
0.98,-0.34388
0.99,-0.34877
1,-0.35365
1.01,-0.35853
1.02,-0.36339
1.03,-0.36825
1.04,-0.37309
1.05,-0.37792
1.06,-0.38274
1.07,-0.38755
1.08,-0.39234
1.09,-0.39712
1.1,-0.40189
1.11,-0.40663
1.12,-0.41137
1.13,-0.41608
1.14,-0.42078
1.15,-0.42546
1.16,-0.43012
1.17,-0.43476
1.18,-0.43937
1.19,-0.44397
1.2,-0.44855
1.21,-0.45311
1.22,-0.45764
1.23,-0.46215
1.24,-0.46663
1.25,-0.4711
1.26,-0.47553
1.27,-0.47994
1.28,-0.48433
1.29,-0.48869
1.3,-0.49302
1.31,-0.49732
1.32,-0.5016
1.33,-0.50585
1.34,-0.51007
1.35,-0.51426
1.36,-0.51842
1.37,-0.52255
1.38,-0.52665
1.39,-0.53071
1.4,-0.53475
1.41,-0.53875
1.42,-0.54273
1.43,-0.54666
1.44,-0.55057
1.45,-0.55444
1.46,-0.55828
1.47,-0.56208
1.48,-0.56585
1.49,-0.56959
1.5,-0.57328
1.51,-0.57695
1.52,-0.58057
1.53,-0.58416
1.54,-0.58772
1.55,-0.59123
1.56,-0.59471
1.57,-0.59815
1.58,-0.60155
1.59,-0.60492
1.6,-0.60824
1.61,-0.61153
1.62,-0.61478
1.63,-0.61799
1.64,-0.62116
1.65,-0.62428
1.66,-0.62737
1.67,-0.63042
1.68,-0.63343
1.69,-0.6364
1.7,-0.63932
1.71,-0.6422
1.72,-0.64505
1.73,-0.64785
1.74,-0.65061
1.75,-0.65332
1.76,-0.656
1.77,-0.65863
1.78,-0.66122
1.79,-0.66377
1.8,-0.66627
1.81,-0.66873
1.82,-0.67115
1.83,-0.67352
1.84,-0.67585
1.85,-0.67814
1.86,-0.68038
1.87,-0.68258
1.88,-0.68474
1.89,-0.68685
1.9,-0.68891
1.91,-0.69094
1.92,-0.69291
1.93,-0.69485
1.94,-0.69674
1.95,-0.69858
1.96,-0.70038
1.97,-0.70213
1.98,-0.70384
1.99,-0.70551
2,-0.70713
2.01,-0.7087
2.02,-0.71023
2.03,-0.71172
2.04,-0.71315
2.05,-0.71455
2.06,-0.7159
2.07,-0.7172
2.08,-0.71846
2.09,-0.71967
2.1,-0.72084
2.11,-0.72196
2.12,-0.72304
2.13,-0.72407
2.14,-0.72505
2.15,-0.72599
2.16,-0.72689
2.17,-0.72774
2.18,-0.72854
2.19,-0.7293
2.2,-0.73002
2.21,-0.73069
2.22,-0.73131
2.23,-0.73189
2.24,-0.73243
2.25,-0.73292
2.26,-0.73336
2.27,-0.73376
2.28,-0.73412
2.29,-0.73443
2.3,-0.73469
2.31,-0.73491
2.32,-0.73509
2.33,-0.73522
2.34,-0.73531
2.35,-0.73535
2.36,-0.73535
2.37,-0.73531
2.38,-0.73522
2.39,-0.73508
2.4,-0.73491
2.41,-0.73469
2.42,-0.73442
2.43,-0.73412
2.44,-0.73377
2.45,-0.73337
2.46,-0.73294
2.47,-0.73246
2.48,-0.73193
2.49,-0.73137
2.5,-0.73076
2.51,-0.73011
2.52,-0.72942
2.53,-0.72869
2.54,-0.72791
2.55,-0.72709
2.56,-0.72623
2.57,-0.72533
2.58,-0.72439
2.59,-0.7234
2.6,-0.72238
2.61,-0.72131
2.62,-0.7202
2.63,-0.71905
2.64,-0.71787
2.65,-0.71664
2.66,-0.71537
2.67,-0.71406
2.68,-0.71271
2.69,-0.71133
2.7,-0.7099
2.71,-0.70843
2.72,-0.70693
2.73,-0.70538
2.74,-0.7038
2.75,-0.70218
2.76,-0.70052
2.77,-0.69882
2.78,-0.69709
2.79,-0.69531
2.8,-0.6935
2.81,-0.69166
2.82,-0.68977
2.83,-0.68785
2.84,-0.68589
2.85,-0.6839
2.86,-0.68187
2.87,-0.6798
2.88,-0.6777
2.89,-0.67556
2.9,-0.67339
2.91,-0.67118
2.92,-0.66893
2.93,-0.66666
2.94,-0.66434
2.95,-0.662
2.96,-0.65962
2.97,-0.6572
2.98,-0.65475
2.99,-0.65227
3,-0.64976
3.01,-0.64721
3.02,-0.64463
3.03,-0.64202
3.04,-0.63937
3.05,-0.6367
3.06,-0.63399
3.07,-0.63125
3.08,-0.62848
3.09,-0.62568
3.1,-0.62285
3.11,-0.61998
3.12,-0.61709
3.13,-0.61417
3.14,-0.61122
3.15,-0.60823
3.16,-0.60522
3.17,-0.60218
3.18,-0.59911
3.19,-0.59602
3.2,-0.59289
3.21,-0.58974
3.22,-0.58656
3.23,-0.58335
3.24,-0.58011
3.25,-0.57685
3.26,-0.57356
3.27,-0.57024
3.28,-0.5669
3.29,-0.56353
3.3,-0.56014
3.31,-0.55672
3.32,-0.55328
3.33,-0.54981
3.34,-0.54631
3.35,-0.5428
3.36,-0.53925
3.37,-0.53569
3.38,-0.5321
3.39,-0.52849
3.4,-0.52485
3.41,-0.52119
3.42,-0.51751
3.43,-0.51381
3.44,-0.51008
3.45,-0.50633
3.46,-0.50257
3.47,-0.49878
3.48,-0.49497
3.49,-0.49113
3.5,-0.48728
3.51,-0.48341
3.52,-0.47952
3.53,-0.47561
3.54,-0.47168
3.55,-0.46773
3.56,-0.46376
3.57,-0.45977
3.58,-0.45577
3.59,-0.45174
3.6,-0.4477
3.61,-0.44364
3.62,-0.43957
3.63,-0.43547
3.64,-0.43136
3.65,-0.42724
3.66,-0.4231
3.67,-0.41894
3.68,-0.41476
3.69,-0.41058
3.7,-0.40637
3.71,-0.40215
3.72,-0.39792
3.73,-0.39367
3.74,-0.38941
3.75,-0.38513
3.76,-0.38084
3.77,-0.37654
3.78,-0.37223
3.79,-0.3679
3.8,-0.36356
3.81,-0.35921
3.82,-0.35484
3.83,-0.35046
3.84,-0.34608
3.85,-0.34168
3.86,-0.33727
3.87,-0.33285
3.88,-0.32842
3.89,-0.32397
3.9,-0.31952
3.91,-0.31506
3.92,-0.31059
3.93,-0.30611
3.94,-0.30163
3.95,-0.29713
3.96,-0.29262
3.97,-0.28811
3.98,-0.28359
3.99,-0.27906
4,-0.27453
4.01,-0.26998
4.02,-0.26543
4.03,-0.26088
4.04,-0.25631
4.05,-0.25175
4.06,-0.24717
4.07,-0.24259
4.08,-0.23801
4.09,-0.23341
4.1,-0.22882
4.11,-0.22422
4.12,-0.21961
4.13,-0.21501
4.14,-0.21039
4.15,-0.20578
4.16,-0.20116
4.17,-0.19653
4.18,-0.19191
4.19,-0.18728
4.2,-0.18265
4.21,-0.17802
4.22,-0.17338
4.23,-0.16874
4.24,-0.16411
4.25,-0.15947
4.26,-0.15483
4.27,-0.15018
4.28,-0.14554
4.29,-0.1409
4.3,-0.13626
4.31,-0.13161
4.32,-0.12697
4.33,-0.12233
4.34,-0.11769
4.35,-0.11305
4.36,-0.10841
4.37,-0.10377
4.38,-0.09914
4.39,-0.0945
4.4,-0.08987
4.41,-0.08524
4.42,-0.08061
4.43,-0.07599
4.44,-0.07137
4.45,-0.06675
4.46,-0.06214
4.47,-0.05753
4.48,-0.05292
4.49,-0.04831
4.5,-0.04372
4.51,-0.03912
4.52,-0.03453
4.53,-0.02995
4.54,-0.02537
4.55,-0.02079
4.56,-0.01622
4.57,-0.01166
4.58,-0.0071
4.59,-0.00255
4.6,0.002
4.61,0.00654
4.62,0.01107
4.63,0.0156
4.64,0.02012
4.65,0.02463
4.66,0.02913
4.67,0.03363
4.68,0.03812
4.69,0.0426
4.7,0.04707
4.71,0.05154
4.72,0.05599
4.73,0.06044
4.74,0.06488
4.75,0.06931
4.76,0.07373
4.77,0.07814
4.78,0.08254
4.79,0.08693
4.8,0.09131
4.81,0.09568
4.82,0.10005
4.83,0.1044
4.84,0.10874
4.85,0.11307
4.86,0.11738
4.87,0.12169
4.88,0.12599
4.89,0.13027
4.9,0.13454
4.91,0.13881
4.92,0.14305
4.93,0.14729
4.94,0.15152
4.95,0.15573
4.96,0.15993
4.97,0.16412
4.98,0.16829
4.99,0.17245
5,0.1766
5.01,0.18073
5.02,0.18486
5.03,0.18896
5.04,0.19306
5.05,0.19714
5.06,0.2012
5.07,0.20526
5.08,0.20929
5.09,0.21332
5.1,0.21733
5.11,0.22132
5.12,0.2253
5.13,0.22926
5.14,0.23321
5.15,0.23715
5.16,0.24106
5.17,0.24497
5.18,0.24885
5.19,0.25273
5.2,0.25658
5.21,0.26042
5.22,0.26425
5.23,0.26805
5.24,0.27184
5.25,0.27562
5.26,0.27938
5.27,0.28312
5.28,0.28684
5.29,0.29055
5.3,0.29424
5.31,0.29791
5.32,0.30157
5.33,0.30521
5.34,0.30883
5.35,0.31243
5.36,0.31602
5.37,0.31959
5.38,0.32314
5.39,0.32667
5.4,0.33018
5.41,0.33368
5.42,0.33716
5.43,0.34061
5.44,0.34406
5.45,0.34748
5.46,0.35088
5.47,0.35427
5.48,0.35763
5.49,0.36098
5.5,0.36431
5.51,0.36762
5.52,0.37091
5.53,0.37418
5.54,0.37743
5.55,0.38066
5.56,0.38387
5.57,0.38706
5.58,0.39024
5.59,0.39339
5.6,0.39652
5.61,0.39964
5.62,0.40273
5.63,0.4058
5.64,0.40886
5.65,0.41189
5.66,0.4149
5.67,0.4179
5.68,0.42087
5.69,0.42382
5.7,0.42675
5.71,0.42967
5.72,0.43256
5.73,0.43543
5.74,0.43827
5.75,0.4411
5.76,0.44391
5.77,0.4467
5.78,0.44946
5.79,0.45221
5.8,0.45493
5.81,0.45763
5.82,0.46032
5.83,0.46298
5.84,0.46562
5.85,0.46823
5.86,0.47083
5.87,0.47341
5.88,0.47596
5.89,0.47849
5.9,0.481
5.91,0.48349
5.92,0.48596
5.93,0.48841
5.94,0.49083
5.95,0.49323
5.96,0.49562
5.97,0.49798
5.98,0.50031
5.99,0.50263
6,0.50492
6.01,0.5072
6.02,0.50945
6.03,0.51168
6.04,0.51388
6.05,0.51607
6.06,0.51823
6.07,0.52037
6.08,0.52249
6.09,0.52459
6.1,0.52667
6.11,0.52872
6.12,0.53075
6.13,0.53276
6.14,0.53475
6.15,0.53671
6.16,0.53866
6.17,0.54058
6.18,0.54248
6.19,0.54435
6.2,0.54621
6.21,0.54804
6.22,0.54985
6.23,0.55164
6.24,0.5534
6.25,0.55515
6.26,0.55687
6.27,0.55857
6.28,0.56025
6.29,0.5619
6.3,0.56354
6.31,0.56515
6.32,0.56674
6.33,0.56831
6.34,0.56985
6.35,0.57137
6.36,0.57288
6.37,0.57435
6.38,0.57581
6.39,0.57725
6.4,0.57866
6.41,0.58005
6.42,0.58142
6.43,0.58277
6.44,0.58409
6.45,0.58539
6.46,0.58668
6.47,0.58793
6.48,0.58917
6.49,0.59039
6.5,0.59158
6.51,0.59275
6.52,0.5939
6.53,0.59503
6.54,0.59614
6.55,0.59722
6.56,0.59829
6.57,0.59933
6.58,0.60035
6.59,0.60135
6.6,0.60232
6.61,0.60328
6.62,0.60421
6.63,0.60512
6.64,0.60602
6.65,0.60689
6.66,0.60773
6.67,0.60856
6.68,0.60937
6.69,0.61015
6.7,0.61091
6.71,0.61165
6.72,0.61238
6.73,0.61307
6.74,0.61375
6.75,0.61441
6.76,0.61505
6.77,0.61566
6.78,0.61626
6.79,0.61683
6.8,0.61739
6.81,0.61792
6.82,0.61843
6.83,0.61892
6.84,0.61939
6.85,0.61984
6.86,0.62027
6.87,0.62068
6.88,0.62107
6.89,0.62144
6.9,0.62179
6.91,0.62211
6.92,0.62242
6.93,0.62271
6.94,0.62298
6.95,0.62322
6.96,0.62345
6.97,0.62366
6.98,0.62385
6.99,0.62402
7,0.62416
7.01,0.62429
7.02,0.6244
7.03,0.62449
7.04,0.62456
7.05,0.62461
7.06,0.62464
7.07,0.62466
7.08,0.62465
7.09,0.62462
7.1,0.62458
7.11,0.62451
7.12,0.62443
7.13,0.62433
7.14,0.62421
7.15,0.62407
7.16,0.62391
7.17,0.62373
7.18,0.62354
7.19,0.62332
7.2,0.62309
7.21,0.62284
7.22,0.62257
7.23,0.62228
7.24,0.62198
7.25,0.62165
7.26,0.62131
7.27,0.62095
7.28,0.62058
7.29,0.62018
7.3,0.61977
7.31,0.61934
7.32,0.61889
7.33,0.61843
7.34,0.61794
7.35,0.61745
7.36,0.61693
7.37,0.61639
7.38,0.61584
7.39,0.61528
7.4,0.61469
7.41,0.61409
7.42,0.61347
7.43,0.61284
7.44,0.61218
7.45,0.61152
7.46,0.61083
7.47,0.61013
7.48,0.60941
7.49,0.60868
7.5,0.60793
7.51,0.60716
7.52,0.60638
7.53,0.60559
7.54,0.60477
7.55,0.60394
7.56,0.6031
7.57,0.60224
7.58,0.60137
7.59,0.60048
7.6,0.59957
7.61,0.59865
7.62,0.59771
7.63,0.59676
7.64,0.5958
7.65,0.59482
7.66,0.59382
7.67,0.59281
7.68,0.59179
7.69,0.59075
7.7,0.5897
7.71,0.58863
7.72,0.58755
7.73,0.58645
7.74,0.58534
7.75,0.58422
7.76,0.58308
7.77,0.58193
7.78,0.58077
7.79,0.57959
7.8,0.5784
7.81,0.57719
7.82,0.57597
7.83,0.57474
7.84,0.5735
7.85,0.57224
7.86,0.57097
7.87,0.56969
7.88,0.56839
7.89,0.56708
7.9,0.56576
7.91,0.56443
7.92,0.56308
7.93,0.56173
7.94,0.56036
7.95,0.55897
7.96,0.55758
7.97,0.55617
7.98,0.55476
7.99,0.55333
8,0.55188
8.01,0.55043
8.02,0.54897
8.03,0.54749
8.04,0.54601
8.05,0.54451
8.06,0.543
8.07,0.54148
8.08,0.53995
8.09,0.53841
8.1,0.53686
8.11,0.53529
8.12,0.53372
8.13,0.53214
8.14,0.53054
8.15,0.52894
8.16,0.52733
8.17,0.5257
8.18,0.52407
8.19,0.52243
8.2,0.52077
8.21,0.51911
8.22,0.51744
8.23,0.51576
8.24,0.51407
8.25,0.51237
8.26,0.51066
8.27,0.50894
8.28,0.50721
8.29,0.50548
8.3,0.50373
8.31,0.50198
8.32,0.50021
8.33,0.49844
8.34,0.49667
8.35,0.49488
8.36,0.49308
8.37,0.49128
8.38,0.48947
8.39,0.48765
8.4,0.48582
8.41,0.48399
8.42,0.48214
8.43,0.48029
8.44,0.47844
8.45,0.47657
8.46,0.4747
8.47,0.47282
8.48,0.47094
8.49,0.46904
8.5,0.46714
8.51,0.46524
8.52,0.46332
8.53,0.4614
8.54,0.45948
8.55,0.45754
8.56,0.4556
8.57,0.45366
8.58,0.45171
8.59,0.44975
8.6,0.44779
8.61,0.44582
8.62,0.44384
8.63,0.44186
8.64,0.43988
8.65,0.43788
8.66,0.43589
8.67,0.43389
8.68,0.43188
8.69,0.42987
8.7,0.42785
8.71,0.42583
8.72,0.4238
8.73,0.42177
8.74,0.41973
8.75,0.41769
8.76,0.41564
8.77,0.41359
8.78,0.41154
8.79,0.40948
8.8,0.40742
8.81,0.40535
8.82,0.40328
8.83,0.4012
8.84,0.39913
8.85,0.39704
8.86,0.39496
8.87,0.39287
8.88,0.39078
8.89,0.38868
8.9,0.38658
8.91,0.38448
8.92,0.38237
8.93,0.38027
8.94,0.37816
8.95,0.37604
8.96,0.37393
8.97,0.37181
8.98,0.36968
8.99,0.36756
9,0.36543
9.01,0.3633
9.02,0.36117
9.03,0.35904
9.04,0.35691
9.05,0.35477
9.06,0.35263
9.07,0.35049
9.08,0.34835
9.09,0.3462
9.1,0.34406
9.11,0.34191
9.12,0.33976
9.13,0.33761
9.14,0.33546
9.15,0.33331
9.16,0.33115
9.17,0.329
9.18,0.32684
9.19,0.32469
9.2,0.32253
9.21,0.32038
9.22,0.31822
9.23,0.31606
9.24,0.3139
9.25,0.31174
9.26,0.30958
9.27,0.30742
9.28,0.30526
9.29,0.3031
9.3,0.30094
9.31,0.29878
9.32,0.29662
9.33,0.29446
9.34,0.29231
9.35,0.29015
9.36,0.28799
9.37,0.28583
9.38,0.28368
9.39,0.28152
9.4,0.27936
9.41,0.27721
9.42,0.27506
9.43,0.2729
9.44,0.27075
9.45,0.2686
9.46,0.26645
9.47,0.26431
9.48,0.26216
9.49,0.26002
9.5,0.25787
9.51,0.25573
9.52,0.25359
9.53,0.25145
9.54,0.24931
9.55,0.24718
9.56,0.24505
9.57,0.24292
9.58,0.24079
9.59,0.23866
9.6,0.23654
9.61,0.23441
9.62,0.23229
9.63,0.23018
9.64,0.22806
9.65,0.22595
9.66,0.22384
9.67,0.22173
9.68,0.21962
9.69,0.21752
9.7,0.21542
9.71,0.21333
9.72,0.21123
9.73,0.20914
9.74,0.20705
9.75,0.20497
9.76,0.20289
9.77,0.20081
9.78,0.19874
9.79,0.19667
9.8,0.1946
9.81,0.19253
9.82,0.19047
9.83,0.18842
9.84,0.18636
9.85,0.18431
9.86,0.18227
9.87,0.18022
9.88,0.17818
9.89,0.17615
9.9,0.17412
9.91,0.17209
9.92,0.17007
9.93,0.16805
9.94,0.16604
9.95,0.16403
9.96,0.16202
9.97,0.16002
9.98,0.15803
9.99,0.15603
10,0.15405
10.01,0.15206
10.02,0.1501
10.03,0.1482
10.04,0.1464
10.05,0.14472
10.06,0.14315
10.07,0.14168
10.08,0.14032
10.09,0.13906
10.1,0.1379
10.11,0.13683
10.12,0.13587
10.13,0.13501
10.14,0.13424
10.15,0.13358
10.16,0.13302
10.17,0.13256
10.18,0.1322
10.19,0.13194
10.2,0.13178
10.21,0.13173
10.22,0.13178
10.23,0.13192
10.24,0.13217
10.25,0.13252
10.26,0.13297
10.27,0.13352
10.28,0.13416
10.29,0.1349
10.3,0.13573
10.31,0.13665
10.32,0.13766
10.33,0.13876
10.34,0.13994
10.35,0.14121
10.36,0.14255
10.37,0.14396
10.38,0.14545
10.39,0.14701
10.4,0.14863
10.41,0.15032
10.42,0.15208
10.43,0.15389
10.44,0.15576
10.45,0.15768
10.46,0.15966
10.47,0.16169
10.48,0.16377
10.49,0.16589
10.5,0.16806
10.51,0.17027
10.52,0.17253
10.53,0.17483
10.54,0.17718
10.55,0.17956
10.56,0.18198
10.57,0.18444
10.58,0.18694
10.59,0.18947
10.6,0.19204
10.61,0.19464
10.62,0.19728
10.63,0.19994
10.64,0.20264
10.65,0.20536
10.66,0.20812
10.67,0.2109
10.68,0.21373
10.69,0.21659
10.7,0.21949
10.71,0.22244
10.72,0.22543
10.73,0.22848
10.74,0.23158
10.75,0.23473
10.76,0.23793
10.77,0.24117
10.78,0.24445
10.79,0.24777
10.8,0.25111
10.81,0.25447
10.82,0.25785
10.83,0.26123
10.84,0.26463
10.85,0.26803
10.86,0.27144
10.87,0.27485
10.88,0.27827
10.89,0.2817
10.9,0.28513
10.91,0.28858
10.92,0.29203
10.93,0.29549
10.94,0.29896
10.95,0.30244
10.96,0.30592
10.97,0.30941
10.98,0.3129
10.99,0.3164
11,0.3199
11.01,0.3234
11.02,0.3269
11.03,0.3304
11.04,0.33389
11.05,0.33738
11.06,0.34086
11.07,0.34432
11.08,0.34777
11.09,0.3512
11.1,0.35461
11.11,0.35799
11.12,0.36136
11.13,0.3647
11.14,0.36802
11.15,0.37133
11.16,0.37462
11.17,0.3779
11.18,0.38116
11.19,0.38442
11.2,0.38767
11.21,0.3909
11.22,0.39413
11.23,0.39735
11.24,0.40055
11.25,0.40375
11.26,0.40693
11.27,0.4101
11.28,0.41326
11.29,0.4164
11.3,0.41953
11.31,0.42264
11.32,0.42572
11.33,0.42878
11.34,0.43182
11.35,0.43482
11.36,0.4378
11.37,0.44074
11.38,0.44364
11.39,0.44651
11.4,0.44934
11.41,0.45214
11.42,0.4549
11.43,0.45763
11.44,0.46032
11.45,0.46299
11.46,0.46563
11.47,0.46823
11.48,0.47081
11.49,0.47336
11.5,0.47588
11.51,0.47836
11.52,0.48082
11.53,0.48325
11.54,0.48565
11.55,0.48801
11.56,0.49035
11.57,0.49265
11.58,0.49493
11.59,0.49717
11.6,0.49939
11.61,0.50158
11.62,0.50374
11.63,0.50587
11.64,0.50798
11.65,0.51007
11.66,0.51213
11.67,0.51416
11.68,0.51616
11.69,0.51812
11.7,0.52006
11.71,0.52195
11.72,0.52381
11.73,0.52562
11.74,0.52739
11.75,0.52912
11.76,0.5308
11.77,0.53245
11.78,0.53405
11.79,0.53562
11.8,0.53716
11.81,0.53867
11.82,0.54014
11.83,0.54159
11.84,0.54301
11.85,0.5444
11.86,0.54576
11.87,0.54708
11.88,0.54837
11.89,0.54962
11.9,0.55083
11.91,0.55199
11.92,0.55311
11.93,0.55419
11.94,0.55522
11.95,0.5562
11.96,0.55714
11.97,0.55805
11.98,0.55891
11.99,0.55973
12,0.56051
12.01,0.56126
12.02,0.56197
12.03,0.56265
12.04,0.5633
12.05,0.56394
12.06,0.56455
12.07,0.56515
12.08,0.56574
12.09,0.56632
12.1,0.5669
12.11,0.56747
12.12,0.56805
12.13,0.56862
12.14,0.56919
12.15,0.56975
12.16,0.5703
12.17,0.57084
12.18,0.57137
12.19,0.57189
12.2,0.57239
12.21,0.57287
12.22,0.57334
12.23,0.57379
12.24,0.57421
12.25,0.5746
12.26,0.57496
12.27,0.5753
12.28,0.5756
12.29,0.57586
12.3,0.57609
12.31,0.57628
12.32,0.57643
12.33,0.57655
12.34,0.57662
12.35,0.57665
12.36,0.57664
12.37,0.57659
12.38,0.57649
12.39,0.57634
12.4,0.57615
12.41,0.57591
12.42,0.57562
12.43,0.57529
12.44,0.5749
12.45,0.57447
12.46,0.57398
12.47,0.57345
12.48,0.57287
12.49,0.57223
12.5,0.57156
12.51,0.57084
12.52,0.57009
12.53,0.56929
12.54,0.56846
12.55,0.5676
12.56,0.56671
12.57,0.56579
12.58,0.56483
12.59,0.56383
12.6,0.56278
12.61,0.5617
12.62,0.56056
12.63,0.55938
12.64,0.55814
12.65,0.55684
12.66,0.55549
12.67,0.55408
12.68,0.55262
12.69,0.55112
12.7,0.54956
12.71,0.54795
12.72,0.5463
12.73,0.54461
12.74,0.54287
12.75,0.54109
12.76,0.53927
12.77,0.53742
12.78,0.53553
12.79,0.53362
12.8,0.53167
12.81,0.5297
12.82,0.5277
12.83,0.52568
12.84,0.52364
12.85,0.52157
12.86,0.51948
12.87,0.51736
12.88,0.51522
12.89,0.51305
12.9,0.51086
12.91,0.50863
12.92,0.50638
12.93,0.5041
12.94,0.50179
12.95,0.49946
12.96,0.49711
12.97,0.49474
12.98,0.49235
12.99,0.48995
13,0.48754
13.01,0.48512
13.02,0.48268
13.03,0.48024
13.04,0.47778
13.05,0.47531
13.06,0.47282
13.07,0.47032
13.08,0.46781
13.09,0.46527
13.1,0.46272
13.11,0.46015
13.12,0.45755
13.13,0.45493
13.14,0.45229
13.15,0.44962
13.16,0.44692
13.17,0.44418
13.18,0.44142
13.19,0.43862
13.2,0.43578
13.21,0.43291
13.22,0.43
13.23,0.42706
13.24,0.42409
13.25,0.42108
13.26,0.41804
13.27,0.41497
13.28,0.41186
13.29,0.40872
13.3,0.40556
13.31,0.40237
13.32,0.39915
13.33,0.39592
13.34,0.39267
13.35,0.3894
13.36,0.38611
13.37,0.38282
13.38,0.37951
13.39,0.37617
13.4,0.3728
13.41,0.36939
13.42,0.36592
13.43,0.36239
13.44,0.35878
13.45,0.3551
13.46,0.35132
13.47,0.34745
13.48,0.34349
13.49,0.33947
13.5,0.3354
13.51,0.33128
13.52,0.32712
13.53,0.32295
13.54,0.31878
13.55,0.31461
13.56,0.31045
13.57,0.3063
13.58,0.30217
13.59,0.29805
13.6,0.29394
13.61,0.28983
13.62,0.28574
13.63,0.28164
13.64,0.27756
13.65,0.27348
13.66,0.2694
13.67,0.26533
13.68,0.26126
13.69,0.2572
13.7,0.25314
13.71,0.24909
13.72,0.24505
13.73,0.241
13.74,0.23697
13.75,0.23293
13.76,0.2289
13.77,0.22487
13.78,0.22084
13.79,0.21681
13.8,0.21278
13.81,0.20875
13.82,0.20471
13.83,0.20067
13.84,0.19662
13.85,0.19257
13.86,0.18851
13.87,0.18444
13.88,0.18037
13.89,0.17628
13.9,0.17219
13.91,0.16808
13.92,0.16397
13.93,0.15984
13.94,0.1557
13.95,0.15156
13.96,0.1474
13.97,0.14323
13.98,0.13906
13.99,0.13487
14,0.13068
14.01,0.12648
14.02,0.12227
14.03,0.11804
14.04,0.11381
14.05,0.10955
14.06,0.10528
14.07,0.10099
14.08,0.09667
14.09,0.09234
14.1,0.08798
14.11,0.08359
14.12,0.07919
14.13,0.07478
14.14,0.07037
14.15,0.06595
14.16,0.06154
14.17,0.05714
14.18,0.05274
14.19,0.04837
14.2,0.04401
14.21,0.03966
14.22,0.03533
14.23,0.031
14.24,0.02668
14.25,0.02235
14.26,0.01803
14.27,0.01369
14.28,0.00936
14.29,0.00501
14.3,0.00067
14.31,-0.00366
14.32,-0.00797
14.33,-0.01226
14.34,-0.01652
14.35,-0.02075
14.36,-0.02493
14.37,-0.02907
14.38,-0.03316
14.39,-0.03721
14.4,-0.04122
14.41,-0.04519
14.42,-0.04913
14.43,-0.05303
14.44,-0.05692
14.45,-0.06078
14.46,-0.06462
14.47,-0.06844
14.48,-0.07225
14.49,-0.07604
14.5,-0.07982
14.51,-0.08358
14.52,-0.08733
14.53,-0.09108
14.54,-0.09481
14.55,-0.09853
14.56,-0.10224
14.57,-0.10595
14.58,-0.10964
14.59,-0.11333
14.6,-0.11701
14.61,-0.12067
14.62,-0.12433
14.63,-0.12797
14.64,-0.13161
14.65,-0.13523
14.66,-0.13885
14.67,-0.14245
14.68,-0.14603
14.69,-0.1496
14.7,-0.15315
14.71,-0.15669
14.72,-0.16021
14.73,-0.1637
14.74,-0.16718
14.75,-0.17063
14.76,-0.17406
14.77,-0.17745
14.78,-0.18081
14.79,-0.18413
14.8,-0.18741
14.81,-0.19065
14.82,-0.19385
14.83,-0.197
14.84,-0.2001
14.85,-0.20317
14.86,-0.2062
14.87,-0.2092
14.88,-0.21218
14.89,-0.21512
14.9,-0.21805
14.91,-0.22096
14.92,-0.22385
14.93,-0.22672
14.94,-0.22958
14.95,-0.23243
14.96,-0.23525
14.97,-0.23807
14.98,-0.24086
14.99,-0.24364
