# dataset: GeoCSV 2.0,
# delimiter: ,
# SID: II_PFO_00_BH1,
# sample_count: 2400,
# sample_rate_hz: 20,
# start_time: 2018-09-22T08:19:19.019538Z,
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-09-22T08:19:26.519538Z,-16
2018-09-22T08:19:26.569538Z,45
2018-09-22T08:19:26.619538Z,65
2018-09-22T08:19:26.669538Z,104
2018-09-22T08:19:26.719538Z,154
2018-09-22T08:19:26.769538Z,154
2018-09-22T08:19:26.819538Z,203
2018-09-22T08:19:26.869538Z,268
2018-09-22T08:19:26.919538Z,273
2018-09-22T08:19:26.969538Z,311
2018-09-22T08:19:27.019538Z,343
2018-09-22T08:19:27.069538Z,328
2018-09-22T08:19:27.119538Z,369
2018-09-22T08:19:27.169538Z,442
2018-09-22T08:19:27.219538Z,458
2018-09-22T08:19:27.269538Z,466
2018-09-22T08:19:27.319538Z,543
2018-09-22T08:19:27.369538Z,628
2018-09-22T08:19:27.419538Z,621
2018-09-22T08:19:27.469538Z,664
2018-09-22T08:19:27.519538Z,733
2018-09-22T08:19:27.569538Z,719
2018-09-22T08:19:27.619538Z,754
2018-09-22T08:19:27.669538Z,759
2018-09-22T08:19:27.719538Z,757
2018-09-22T08:19:27.769538Z,840
2018-09-22T08:19:27.819538Z,882
2018-09-22T08:19:27.869538Z,880
2018-09-22T08:19:27.919538Z,889
2018-09-22T08:19:27.969538Z,881
2018-09-22T08:19:28.019538Z,871
2018-09-22T08:19:28.069538Z,874
2018-09-22T08:19:28.119538Z,880
2018-09-22T08:19:28.169538Z,873
2018-09-22T08:19:28.219538Z,844
2018-09-22T08:19:28.269538Z,866
2018-09-22T08:19:28.319538Z,880
2018-09-22T08:19:28.369538Z,871
2018-09-22T08:19:28.419538Z,894
2018-09-22T08:19:28.469538Z,880
2018-09-22T08:19:28.519538Z,873
2018-09-22T08:19:28.569538Z,895
2018-09-22T08:19:28.619538Z,906
2018-09-22T08:19:28.669538Z,890
2018-09-22T08:19:28.719538Z,868
2018-09-22T08:19:28.769538Z,873
2018-09-22T08:19:28.819538Z,828
2018-09-22T08:19:28.869538Z,808
2018-09-22T08:19:28.919538Z,844
2018-09-22T08:19:28.969538Z,819
2018-09-22T08:19:29.019538Z,780
2018-09-22T08:19:29.069538Z,764
2018-09-22T08:19:29.119538Z,741
2018-09-22T08:19:29.169538Z,724
2018-09-22T08:19:29.219538Z,723
2018-09-22T08:19:29.269538Z,674
2018-09-22T08:19:29.319538Z,615
2018-09-22T08:19:29.369538Z,601
2018-09-22T08:19:29.419538Z,578
2018-09-22T08:19:29.469538Z,552
2018-09-22T08:19:29.519538Z,520
2018-09-22T08:19:29.569538Z,463
2018-09-22T08:19:29.619538Z,416
2018-09-22T08:19:29.669538Z,386
2018-09-22T08:19:29.719538Z,365
2018-09-22T08:19:29.769538Z,349
2018-09-22T08:19:29.819538Z,287
2018-09-22T08:19:29.869538Z,223
2018-09-22T08:19:29.919538Z,213
